od_code,discount_amount
0,78750
1,62431
2,92630
3,73472
4,3007
5,91659
6,46274
7,30491
8,144037
9,106617
10,95788
11,89967
12,70216
13,21480
14,31876
15,18830
16,92031
17,22200
18,68806
19,69840
20,55807
21,52199
22,17978
23,26537
24,69317
25,66451
26,31165
27,29484
28,41026
29,41336
30,25615
31,24079
32,48704
33,7545
34,28700
35,6670
36,23840
37,13736
38,38207
39,28254
40,31903
41,40427
42,14823
43,8872
44,12352
45,40313
46,34552
47,14757
48,11094
49,6727
50,4090
51,23786
52,2080
53,26160
54,8635
55,6496
56,23737
57,18750
58,14040
59,4295
60,9701
61,19465
62,10204
63,17141
64,19992
65,1239
66,10578
67,4538
68,1469
69,5098
70,3020
71,9930
72,5776
73,2801
74,11218
75,9906
76,9519
77,13602
78,6696
79,9319
80,4226
81,4647
82,1497
83,4722
84,10017
85,11745
86,6497
87,6675
88,11347
89,2107
90,11555
91,2473
92,624
93,8389
94,5164
95,2230
96,11436
97,3671
98,4794
99,6573
100,2997
101,7066
102,6010
103,5002
104,3026
105,4840
106,10138
107,8027
108,9710
109,6841
110,692
111,4811
112,5677
113,4646
114,506
115,319
116,7422
117,5277
118,191
119,5483
120,8901
121,7692
122,1334
123,1849
124,5920
125,5966
126,8895
127,7471
128,8005
129,2600
130,29
131,2425
132,6073
133,2096
134,2876
135,216
136,6015
137,5517
138,3086
139,1705
140,5042
141,6772
142,4428
143,5618
144,194
145,1044
146,1749
147,4404
148,1978
149,960
150,361
151,1217
152,1145
153,1027
154,3534
155,4905
156,306
157,2346
158,5268
159,3265
160,4836
161,101
162,4320
163,5893
164,293
165,475
166,5118
167,5357
168,4445
169,2863
170,2785
171,5259
172,1710
173,2093
174,4802
175,2410
176,4868
177,4683
178,3563
179,2006
180,3242
181,4822
182,1611
183,4294
184,2436
185,4477
186,1628
187,2906
188,3520
189,1937
190,596
191,2548
192,1236
193,3260
194,2071
195,3198
196,3518
197,1307
198,3532
199,522
