od_code,discount_amount
0,31622.46
1,493.82
2,973.44
3,1045.69
4,464.19
5,445.89
6,28087.12
7,539.79
8,10860.74
9,503.58
10,2285.98
11,676.99
12,407
13,492.6
14,1183.45
15,13242.75
16,4863.17
17,560.01
18,3945.53
19,1249.07
20,353.63
21,473.96
22,2966.84
23,433.53
24,2125.07
25,613.87
26,366.68
27,339.49
28,613.9
29,2989.99
30,7460.45
31,2353.07
32,428.98
33,685.6
34,6080.8
35,303.47
36,490.5
37,23117.82
38,807.94
39,613.29
40,404.77
41,1260.42
42,4285.96
43,532.3
44,297.53
45,1438.36
46,7937.36
47,815.74
48,449.34
49,326.01
50,834.8
51,409.76
52,229.9
53,566.6
54,304.97
55,3675.18
56,3156.56
57,262
58,1952.43
59,1461.29
60,315.13
61,501.67
62,212.79
63,3803.96
64,245.15
65,481.26
66,1356.68
67,226.32
68,1345.51
69,499.94
70,252.97
71,471.84
72,257.36
73,411.04
74,240.84
75,463.16
76,376.29
77,3800.89
78,2423.99
79,212.54
80,147.78
81,1241.66
82,210.32
83,136.57
84,317.88
85,824.62
86,6863.55
87,225.25
88,49.91
89,31.86
90,253.65
91,301.3
92,9.26
93,24.84
94,6.77
95,6.94
96,6.45
97,7.75
98,7.22
99,3.68
100,1.69
101,1
102,12203.43
103,1398853.49
104,3875.05
105,3389.69
106,3861.87
107,8543.69
108,1860.81
109,14441.93
110,6393.42
111,12535.12
112,12692.8
113,4431.22
114,42348.81
115,1907.49
116,29285
117,1520.85
118,2315.56
119,30730.13
120,35573
121,4940.24
122,3550.51
123,11506.77
124,3641.19
125,5286.45
126,133186.1
127,3070.74
128,1893.18
129,1442.68
130,93687.35
131,6772.68
132,4507.82
133,2828.17
134,1985.66
135,1761.85
136,1975.17
137,4073.17
138,1440.22
139,45595.99
140,2859.89
141,3592.95
142,19405.18
143,10380.59
144,7669.24
145,317092.95
146,2853.41
147,1901.01
148,14389.21
149,3544.03
150,2394.85
151,1736.84
152,32788.61
153,15686.48
154,2374.75
155,11504.76
156,1949.02
157,2528.64
158,19957.54
159,24749.26
160,3119.65
161,2049.09
162,21941.87
163,1882.47
164,2559.69
165,1704.23
166,21508.55
167,2165.69
168,1768.55
169,2079.91
170,24166.52
171,3719.81
172,4693.66
173,4883.74
174,3071.4
175,2070.53
176,1473.27
177,5547.34
178,5183.93
179,25941.33
180,1891.63
181,4764.24
182,1513.03
183,1720.76
184,1500.97
185,14907.63
186,10279.86
187,2191.82
188,4228.63
189,6102.83
190,4314.18
191,17426
192,30432.18
193,50980.5
194,3575.31
195,7317.46
196,1474.16
197,2992.56
198,13090.61
199,1753.15
