od_code,discount_amount
195,210171
66,326195
58,403910
191,477861
16,605569
159,685092
103,291202
107,0
33,0
54,0
149,0
98,0
157,0
93,0
156,0
44,0
183,0
171,0
99,0
145,0
68,0
146,0
92,0
84,0
94,0
15,0
166,0
180,0
118,0
119,0
190,0
83,0
72,0
0,0
153,0
148,0
41,0
82,0
143,0
185,0
102,0
61,0
90,0
137,0
164,0
131,0
117,0
27,0
196,0
192,0
147,0
120,0
151,0
86,0
47,0
179,0
62,0
88,0
26,0
122,0
135,0
63,0
97,0
79,0
114,0
67,0
48,0
14,0
109,0
198,0
59,0
115,0
43,0
128,0
80,0
199,0
1,0
12,0
110,0
51,0
112,0
144,0
127,0
21,0
3,0
42,0
174,0
165,0
168,0
52,0
4,0
69,0
121,0
155,0
181,0
10,0
111,0
35,0
39,0
28,0
24,0
162,0
64,0
89,0
152,0
133,0
150,0
25,0
11,0
60,0
71,0
126,0
77,0
189,0
53,0
6,0
142,0
140,0
70,0
172,0
130,0
96,0
100,0
139,0
19,0
125,0
161,0
116,0
176,0
158,0
186,0
13,0
7,0
56,0
36,0
8,0
132,0
73,0
23,0
74,0
104,0
184,0
194,0
101,0
32,0
193,0
30,0
105,0
108,0
2,0
123,0
175,0
49,0
95,0
57,0
188,0
50,0
170,0
106,0
76,0
18,0
9,0
55,0
163,0
85,0
37,0
34,0
160,0
124,0
31,0
154,0
182,0
45,0
78,0
29,0
75,0
81,0
169,0
22,0
40,0
46,0
113,0
5,0
138,0
38,0
134,0
136,0
178,0
197,0
20,0
177,0
91,0
187,0
141,0
129,0
173,0
87,0
65,0
167,0
17,0
