od_code,discount_amount
0,15000
1,15000
2,15000
3,15000
4,15000
5,15000
6,15000
7,15000
8,15000
9,15000
10,15000
11,15000
12,15000
13,15000
14,15000
15,15000
16,15000
17,15000
18,15000
19,15000
20,15000
21,15000
22,15000
23,15000
24,15000
25,15000
26,15000
27,15000
28,15000
29,15000
30,15000
31,15000
32,15000
33,15000
34,15000
35,15000
36,15000
37,15000
38,15000
39,15000
40,15000
41,15000
42,15000
43,15000
44,15000
45,15000
46,15000
47,15000
48,15000
49,15000
50,15000
51,15000
52,15000
53,15000
54,15000
55,15000
56,15000
57,15000
58,15000
59,15000
60,15000
61,15000
62,15000
63,15000
64,15000
65,15000
66,15000
67,15000
68,15000
69,15000
70,15000
71,15000
72,15000
73,15000
74,15000
75,15000
76,15000
77,15000
78,15000
79,15000
80,15000
81,15000
82,15000
83,15000
84,15000
85,15000
86,15000
87,15000
88,15000
89,15000
90,15000
91,15000
92,15000
93,15000
94,15000
95,15000
96,15000
97,15000
98,15000
99,15000
100,15000
101,15000
102,15000
103,15000
104,15000
105,15000
106,15000
107,15000
108,15000
109,15000
110,15000
111,15000
112,15000
113,15000
114,15000
115,15000
116,15000
117,15000
118,15000
119,15000
120,15000
121,15000
122,15000
123,15000
124,15000
125,15000
126,15000
127,15000
128,15000
129,15000
130,15000
131,15000
132,15000
133,15000
134,15000
135,15000
136,15000
137,15000
138,15000
139,15000
140,15000
141,15000
142,15000
143,15000
144,15000
145,15000
146,15000
147,15000
148,15000
149,15000
150,15000
151,15000
152,15000
153,15000
154,15000
155,15000
156,15000
157,15000
158,15000
159,15000
160,15000
161,15000
162,15000
163,15000
164,15000
165,15000
166,15000
167,15000
168,15000
169,15000
170,15000
171,15000
172,15000
173,15000
174,15000
175,15000
176,15000
177,15000
178,15000
179,15000
180,15000
181,15000
182,15000
183,15000
184,15000
185,15000
186,15000
187,15000
188,15000
189,15000
190,15000
191,15000
192,15000
193,15000
194,15000
195,15000
196,15000
197,15000
198,15000
199,15000
