od_code,discount_amount
0,16900.60485
1,15424.56519
2,17978.07194
3,16159.90135
4,16064.80517
5,15359.4821
6,0
7,0
8,18106.86955
9,15990.47899
10,17369.47154
11,17123.81589
12,0
13,14645.96122
14,15483.96349
15,0
16,0
17,0
18,15925.42592
19,16491.98624
20,16868.26831
21,15218.10958
22,0
23,15043.5008
24,14323.00151
25,16655.3791
26,0
27,16500.70808
28,12541.94567
29,13806.85554
30,18112.74023
31,14122.60358
32,15724.37791
33,17061.67522
34,14376.28161
35,16260.34497
36,16482.55485
37,17533.03645
38,14441.41093
39,14922.27755
40,17490.74371
41,14131.26109
42,0
43,18425.54742
44,17509.82393
45,14711.01238
46,16019.18392
47,14314.23642
48,18812.18764
49,12644.06054
50,17833.82786
51,13249.35945
52,18525.17432
53,14564.29766
54,14722.41077
55,15229.83402
56,14796.85773
57,16164.79444
58,0
59,15624.06175
60,18142.08448
61,0
62,14839.32435
63,0
64,15902.78476
65,15852.56538
66,0
67,16798.92887
68,15753.00856
69,17802.54089
70,15407.88792
71,16878.02944
72,13760.25644
73,14020.93531
74,15062.56421
75,14619.16237
76,18530.5049
77,15888.50381
78,0
79,0
80,15719.93411
81,0
82,16310.8333
83,17524.54651
84,14754.0821
85,0
86,0
87,16192.36352
88,16725.70319
89,17131.64392
90,0
91,14182.05702
92,16353.54915
93,14835.20444
94,17121.5995
95,16028.97719
96,17027.2719
97,0
98,17578.41273
99,17175.33819
100,15240.57486
101,15359.85432
102,0
103,500000
104,14756.6146
105,17033.37646
106,13594.00346
107,17475.43928
108,17324.57269
109,17591.00865
110,13331.6493
111,13798.43938
112,0
113,14717.40707
114,0
115,15442.90394
116,15359.36572
117,12759.43313
118,16668.43524
119,15403.7394
120,15675.24512
121,15229.73776
122,17930.08127
123,0
124,17773.53794
125,16910.37682
126,17180.75105
127,16851.60709
128,12811.59116
129,15292.72359
130,0
131,14496.62333
132,17384.11751
133,15206.36959
134,16666.80864
135,12651.41821
136,16923.43183
137,17517.22427
138,17280.59794
139,0
140,15407.26156
141,17346.37806
142,14944.10053
143,16042.57846
144,0
145,0
146,0
147,15695.037
148,14448.66407
149,17425.48166
150,16280.77839
151,17323.5302
152,0
153,14058.33722
154,16385.76378
155,16998.63431
156,16200.62656
157,0
158,13463.47737
159,0
160,15867.80724
161,14825.93027
162,14903.95894
163,15809.79661
164,17957.20896
165,12908.3877
166,13291.49876
167,18094.97287
168,14570.92984
169,14677.57616
170,0
171,15001.74573
172,17701.1847
173,13188.5975
174,0
175,14203.22824
176,12633.50945
177,14689.59887
178,16976.13575
179,0
180,13813.02241
181,13594.44465
182,13514.05263
183,14196.64213
184,12550.52839
185,15262.27946
186,16884.23787
187,17035.40062
188,16206.34329
189,13049.88189
190,13143.7592
191,0
192,17608.10862
193,15608.25004
194,0
195,0
196,14787.16877
197,16074.35375
198,0
199,0
