od_code,discount_amount
0,0
1,4288.322161
2,7595.891184
3,8867.438718
4,3945.385417
5,0
6,0
7,0
8,0
9,4782.751658
10,20733.31067
11,6181.648405
12,0
13,0
14,11690.95992
15,0
16,28621.24835
17,0
18,0
19,12818.55056
20,0
21,5127.011681
22,19143.78645
23,0
24,0
25,6401.661486
26,0
27,0
28,0
29,0
30,0
31,0
32,4939.110172
33,0
34,0
35,3524.683443
36,5667.06676
37,0
38,0
39,0
40,5206.916618
41,0
42,34264.59751
43,6857.452719
44,3996.664737
45,0
46,0
47,0
48,6225.433931
49,0
50,12276.75837
51,0
52,3271.888595
53,0
54,0
55,0
56,0
57,4506.787557
58,19090.15257
59,0
60,5192.760676
61,0
62,0
63,40842.56964
64,0
65,0
66,15417.09953
67,4347.028964
68,0
69,9490.297868
70,0
71,0
72,0
73,0
74,0
75,0
76,7185.742455
77,0
78,0
79,0
80,3646.994384
81,0
82,5258.749864
83,3237.702255
84,0
85,0
86,352411.8588
87,0
88,5201.68844
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,3892.664093
97,0
98,8590.212686
99,0
100,0
101,3599.067642
102,17074.33332
103,1541974.061
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,20685.21132
113,0
114,55697.59533
115,0
116,72753.53063
117,0
118,0
119,0
120,0
121,0
122,7740.655242
123,0
124,7996.187962
125,0
126,0
127,7024.423179
128,0
129,0
130,119366.5813
131,0
132,10082.53793
133,6935.371366
134,0
135,0
136,4500.172106
137,9052.752653
138,3228.356022
139,63199.003
140,0
141,8043.939829
142,0
143,0
144,13233.20283
145,0
146,0
147,0
148,0
149,0
150,0
151,3886.691423
152,44103.09376
153,0
154,0
155,0
156,0
157,0
158,0
159,32379.77226
160,0
161,0
162,55224.74647
163,0
164,5569.040061
165,0
166,0
167,4680.304937
168,0
169,5208.088891
170,0
171,0
172,10350.37632
173,0
174,0
175,0
176,0
177,0
178,11813.3204
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,23614.8363
187,4969.992047
188,9955.833953
189,0
190,0
191,22585.31967
192,68797.33832
193,0
194,0
195,9933.413826
196,0
197,0
198,0
199,0
