od_code,discount_amount
0,3333.333
1,3333.333
2,3333.333
3,3333.333
4,3333.333
5,3333.333
6,300000
7,3333.333
8,3333.333
9,3333.333
10,3333.333
11,3333.333
12,3333.333
13,3333.333
14,3333.333
15,60000
16,60000
17,3333.333
18,3333.333
19,3333.333
20,3333.333
21,3333.333
22,3333.333
23,3333.333
24,3333.333
25,3333.333
26,3333.333
27,3333.333
28,3333.333
29,3333.333
30,3333.333
31,3333.333
32,3333.333
33,3333.333
34,3333.333
35,3333.333
36,3333.333
37,3333.333
38,3333.333
39,3333.333
40,3333.333
41,3333.333
42,60000
43,3333.333
44,3333.333
45,3333.333
46,3333.333
47,3333.333
48,3333.333
49,3333.333
50,3333.333
51,3333.333
52,3333.333
53,3333.333
54,3333.333
55,3333.333
56,3333.333
57,3333.333
58,60000
59,3333.333
60,3333.333
61,3333.333
62,3333.333
63,60000
64,3333.333
65,3333.333
66,60000
67,3333.333
68,3333.333
69,3333.333
70,3333.333
71,3333.333
72,3333.333
73,3333.333
74,3333.333
75,3333.333
76,3333.333
77,3333.333
78,3333.333
79,3333.333
80,60000
81,3333.333
82,3333.333
83,3333.333
84,3333.333
85,3333.333
86,300000
87,3333.333
88,3333.333
89,3333.333
90,3333.333
91,3333.333
92,3333.333
93,3333.333
94,3333.333
95,3333.333
96,3333.333
97,3333.333
98,3333.333
99,3333.333
100,3333.333
101,3333.333
102,3333.333
103,300000
104,3333.333
105,3333.333
106,3333.333
107,3333.333
108,3333.333
109,3333.333
110,3333.333
111,3333.333
112,3333.333
113,3333.333
114,60000
115,3333.333
116,3333.333
117,3333.333
118,3333.333
119,3333.333
120,3333.333
121,3333.333
122,3333.333
123,3333.333
124,3333.333
125,3333.333
126,3333.333
127,3333.333
128,3333.333
129,3333.333
130,300000
131,3333.333
132,3333.333
133,3333.333
134,3333.333
135,3333.333
136,3333.333
137,3333.333
138,3333.333
139,60000
140,3333.333
141,3333.333
142,3333.333
143,3333.333
144,3333.333
145,300000
146,3333.333
147,3333.333
148,3333.333
149,3333.333
150,3333.333
151,3333.333
152,60000
153,3333.333
154,3333.333
155,3333.333
156,3333.333
157,3333.333
158,3333.333
159,60000
160,3333.333
161,3333.333
162,3333.333
163,3333.333
164,3333.333
165,3333.333
166,3333.333
167,3333.333
168,3333.333
169,3333.333
170,60000
171,3333.333
172,3333.333
173,3333.333
174,3333.333
175,3333.333
176,3333.333
177,3333.333
178,3333.333
179,60000
180,3333.333
181,3333.333
182,3333.333
183,3333.333
184,3333.333
185,3333.333
186,3333.333
187,3333.333
188,3333.333
189,3333.333
190,3333.333
191,60000
192,3333.333
193,3333.333
194,3333.333
195,60000
196,3333.333
197,3333.333
198,3333.333
199,3333.333
