city_code,avg_price,num_package,discount_amount_limit
0,32.45415076,105515,1369760
1,16.63743431,117006,778672
2,35.79130895,106804,1529062
3,29.2421673,107188,1253764
4,28.36823261,100917,1145135
5,29.91557602,101597,1215733
6,17.66978461,111213,786044
7,31.08552925,97932,1217707
8,29.04785891,103957,1207891
9,18.76471279,103018,773241
10,29.75821471,121952,1451630
11,33.65104406,104111,1401378
12,35.24725275,111875,1577315
13,30.02163641,106886,1283557
14,35.41288633,124484,1763335
15,32.3057056,118620,1532841
16,16.17706985,113821,736516
17,37.97721712,102201,1552524
18,30.98839477,127164,1576243
19,32.95398249,113242,1492710
20,39.37094513,105700,1664604
21,32.32411073,99722,1289370
22,30.22835659,101607,1228565
23,30.73990375,125722,1545873
24,29.43998056,109967,1294971
25,34.24698316,100606,1378181
26,16.14676199,123562,798050
27,33.35844981,114304,1525202
28,31.83178846,104144,1326036
29,32.02055002,113131,1449007
30,30.42538306,99182,1207060
31,35.9107472,99497,1429205
32,30.91036113,101828,1259016
33,32.1235817,103470,1329531
34,30.5267208,106320,1298240
35,15.9320527,118227,753440
36,34.07303465,97889,1334150
37,34.66080706,117941,1635172
38,29.9084354,101676,1216388
39,37.37242218,127222,1901838
40,18.23558385,110062,802818
41,31.43484416,100435,1262863
42,35.60476459,115616,1646592
43,32.61332575,99139,1293301
44,30.07143706,99929,1202003
45,30.30579667,103227,1251351
46,32.49134659,96514,1254348
47,32.8879128,98223,1292140
48,30.80585155,105042,1294363
49,28.29334556,104601,1183805
50,16.79745221,128041,860305
51,31.02579485,104069,1291529
52,30.81045209,103435,1274752
53,17.8570477,104753,748232
54,33.04121887,99093,1309661
55,32.0155334,101954,1305645
56,39.68404836,122795,1949201
57,31.18560708,105199,1312278
58,39.42638198,100256,1581093
59,31.76628926,115187,1463625
60,31.57097714,104631,1321321
61,27.9541902,101599,1136047
62,30.03163019,103672,1245376
63,34.51056078,109036,1505157
64,34.24545741,117556,1610304
65,35.18060075,97279,1368933
66,30.46603087,104918,1278574
67,28.93857234,103003,1192304
68,32.76998578,107450,1408454
69,16.78315559,118883,798093
70,34.43148951,100563,1385014
71,32.84527303,132150,1736201
72,30.27277845,100080,1211880
73,18.86395061,107023,807551
74,30.85656285,109092,1346482
75,33.38495986,126197,1685233
76,31.69731632,100314,1271874
77,34.00115319,114096,1551758
78,40.09607887,109982,1763939
79,33.81166869,99717,1348639
80,28.25607767,100100,1131373
81,33.86282355,99962,1353998
82,29.68558111,111856,1328204
83,32.33960858,110087,1424068
84,30.51165433,97504,1190003
85,33.14641393,102847,1363604
86,32.36132511,124394,1610222
87,16.41510746,124443,817098
88,29.40106259,98973,1163965
89,17.09640572,115751,791570
90,28.96664038,98400,1140127
91,39.56794621,99111,1568647
92,33.96318007,101331,1376609
93,29.97173123,103706,1243299
94,38.82532997,104821,1627884
95,37.83312338,96203,1455864
96,35.04028215,132411,1855888
97,38.74751268,100375,1555713
98,16.46674284,124430,819583
99,32.22129927,99440,1281634
100,34.08584106,117977,1608538
101,30.06636205,133954,1611004
102,27.97529713,99737,1116069
103,28.91963213,106903,1236638
104,36.39480775,128474,1870315
105,32.58511596,107262,1398058
106,28.03214934,103371,1159085
107,32.76754488,100532,1317675
108,33.90759196,120093,1628826
109,30.37226607,103432,1256586
110,37.4689744,104787,1570505
111,32.2027419,102973,1326405
112,29.42873456,108202,1273699
113,32.22515142,96605,1245244
114,34.11437593,96498,1316788
115,18.23149191,113628,828643
116,29.96809737,121522,1456713
117,34.59575131,119515,1653884
118,32.17759094,101608,1307800
119,16.04824029,129538,831543
120,30.64990261,103354,1267116
121,36.86364497,106519,1570671
122,34.14924973,104011,1420759
123,43.32548267,122416,2121493
124,30.33719337,101311,1229397
125,37.39978529,99895,1494421
126,36.40753468,103716,1510418
127,35.17717214,108229,1522876
128,30.26149701,102071,1235529
129,28.04587336,104230,1169289
130,33.7580341,108583,1466219
131,18.27518924,112685,823736
132,31.36926343,103292,1296078
133,31.6472964,120855,1529894
